Date,RY.TO,BNS.TO,BMO.TO,POW.TO,TD.TO,CM.TO,FFH.TO,BN.TO,NA.TO,LB.TO,CWB.TO,GWO.TO,IGM.TO,ONEX.TO,CIX.TO,GSY.TO,MFC.TO,IAG.TO,SLF.TO,X.TO,EQB.TO,IFC.TO,EIF.TO,SII.TO,TCN.TO
2013-04-08,-0.003023892,0.002281978,0.003535764,0,-0.002475336,-0.00942206,-0.000595595,0.015454302,-0.004876553,0.00139875,-0.008648452,-0.009125222,0.004291351,0.004587234,0.012185968,0,0.001417492,0.001941015,0.02384598,-0.005646288,0.025719635,-0.000318142,-0.017778202,-0.012232193,0.015174625
2013-04-09,0.01237284,0.005944319,0.005758996,-0.00115354,0.005190534,0.001022877,-0.003357631,0.001585458,0.0071713,0.004880872,0.00828986,0.008368077,0.000901158,0.005443989,0.003201436,-0.003001313,0.009866141,0.001661334,0.006239755,0.003464376,-0.019161669,0.007611752,0.02399919,0.059718855,0.006005437
2013-04-10,0.019743884,0.017622963,0.01110421,0.011856909,0.010910282,0.007511516,-0.004494421,0.013373846,0.012860162,0.014958307,0.005726248,0.003780774,-0.007458382,0.007903608,0.008486567,0.004997759,0.026982198,0.014554653,0.018488895,0.01158178,0.025807719,0.006926941,0.006908289,-0.053584334,0.022207036
2013-04-11,-0.001467615,-0.008427152,-0.004268158,-0.003046547,-0.001952333,-0.006234259,0.000125138,0.005455217,-0.002665391,-0.007336356,-0.002143417,0.014609408,0.011727723,0.001862732,0.001759239,-0.008008501,-0.015824466,-0.006289975,-0.007571252,-0.000540304,0.006602471,0.00125439,0.007220079,0.044850744,-0.007347096
2013-04-12,0.005045233,-0.003286785,0.001424552,-0.006504611,-0.0050215,-0.00242809,0,-0.003633642,-0.006023805,-0.004380995,-0.007178705,-0.018011377,0.008706301,0.012534948,-0.003168244,0.009004646,-0.006260652,-0.006329943,0.000361336,-0.016333621,-0.005075001,-0.016430003,-0.007944596,-0.134367342,-0.00888936
2013-04-15,-0.011756921,-0.01448699,-0.014180074,-0.020947118,-0.01583986,-0.014692605,-0.002705986,-0.00975293,-0.017335115,-0.003008982,-0.011959065,-0.020659153,-0.027263166,-0.010056821,-0.008854198,-0.003991985,-0.031906408,-0.018671479,-0.032355683,-0.027831136,-0.027074295,-0.020111734,-0.017926381,-0.087315356,-0.030213641
2013-04-16,0.009644265,0.014313417,0.013388703,0.010140338,0.013135344,0.009818929,-0.001456222,0.021730998,0,0.008310431,0.01663091,0.013057536,0.009321202,0.017786536,0.021468444,0,0.019972158,0.012300941,0.029819837,0.013826982,0.006253791,0.008415544,0.0058888,-0.033398047,-0.004612163
2013-04-17,-0.001464962,-0.015192955,-0.003171459,-0.017221434,-0.004812793,-0.005414558,-0.011422071,-0.013627642,-0.011127459,-0.015055717,-0.010089749,-0.010355114,-0.019883819,-0.01758027,-0.02004669,-0.005012661,-0.020692964,-0.017377206,-0.008377165,-0.028038971,-0.026317767,0.003057428,-0.01926706,-0.034552726,-0.029712863
2013-04-18,-0.00571851,-0.001055879,-0.008934305,0.009430045,-0.010445267,0.005928692,0.004032739,-0.001884904,-0.000552766,0.005817627,-0.005812385,0.004615299,0.005295105,-0.009948228,-0.006415038,0,0.008614454,-0.009088264,-0.021069307,-0.007662716,0,-0.021928867,0.000748228,0.003899173,-0.017614696
2013-04-19,0.006858133,0.003165653,0.009569347,0.017830132,0.006603532,0.002438467,0.003083358,0.018427808,0.015498074,0.005783462,0.009066511,0.007645272,0.004582312,0.002288558,-0.002505623,0,0.017712005,-0.001427654,0.012621428,-0.011605507,-0.004007988,0.00964277,0.035619011,0.060395234,0.001614317
2013-04-22,-0.007841663,-0.00457623,-0.001111946,-0.016267113,0.00037195,-0.000512969,0.004406452,-0.005306656,-0.000136282,-0.001153908,0.002523822,-0.007261396,0.002282774,-0.001871878,-0.005390788,0.005012661,-0.014856895,0.001142278,-0.01786458,0.01045068,-0.005099712,-0.006036443,-0.003251448,0.014545546,0.033310369
2013-04-23,-0.007820023,-0.001411831,0.003173245,0.007392089,0.003964807,-0.001154618,0.00133052,0.006892872,0.016067359,0.001845861,0.003594423,0.011062224,0.011337825,0.015494381,0.006823578,0.021762001,0.030879798,0.022853369,0.028139575,0.000385489,0.001613374,0.004408842,-0.004716463,-0.044287226,-0.009404687
2013-04-24,0.006659059,0.005988062,0.003794665,0.013474691,0.007636301,0.01225101,0.001103588,0.016507577,0.011849938,-0.000691953,0.010706394,0.011316822,-0.003614196,0.003070518,0.001072834,0,0.017129568,0.00111486,0.008362211,0.029393614,0.007494326,-0.003590775,0.000727065,0.090151015,0.012519753
2013-04-25,0.003478681,0.000350896,0.000631059,0.003054623,-0.001719672,0.000887666,0.014258626,-0.003123297,0.004358732,0.004143879,0.00106513,0.002247607,0.002937342,-0.00779684,0.002142448,-0.021762001,-0.002040473,-0.001393867,0.005776055,0.003359,0.011929033,0.001633939,0.008322924,0.020478577,0.004655306
2013-04-26,-0.00763538,-0.001229465,-0.001736209,0.004943575,-0.003200352,-0.006738648,-0.002795872,-0.007326018,-0.002375406,-0.00068925,-0.000354656,-0.000748387,0.00225408,0.003906105,0.000894516,0.009950436,-0.008202383,0.016876965,-0.004328883,-0.019371092,-0.003166762,-0.001960992,-0.007634775,0.026667889,-0.009331968
